OnHold	Id	Prewords	Keywords	Paraphrase	Example	Origin	References	Comment
Group#
	100		(something) 101	the basics of (something)	Your bike’s in bad shape. You’re ready for Bicycle Maintenance 101.	Alludes to the supposed practice of assigning 101 as the number of any introductory college class. 		
	200	the	$64,000 (or sixty-four-thousand dollar) question	the critical question	Why is she here? That’s the $64,000 question, isn’t it?	Alludes to an American TV quiz show of the 1950s called <b><i>The $64,000 Question</i></b> in which a contestant could win $64,000 with the correct answer to the final, hardest question.	[ { "id": "59900", "text": "the million-dollar question" } ]	
	300	the	30,000 (or thirty-thousand) foot view	the broad outline	I don’t have much time. Just give me the 30,000-foot view.			
GroupA
	400		A-1	excellent	That restaurant is A-1.	Possibly alludes to the risk-management firm Lloyd’s of London’s highest rating on hull and rigging, respectively, of merchant sailing ships.		
	500		above (one’s) pay grade	above (one’s) authority	Making a decision regarding that much money is well above my pay grade.			
	600	an	ace in the hole	a conclusive factor	His aptitude test is his ace in the hole. They can hardly deny him admission now.	Alludes to a form of poker in which the single face-down card is called the hole card.		
	700	an	ace up (one’s) sleeve	a hidden conclusive factor	This debate isn’t over yet. She has an ace up her sleeve.	Alludes to the supposed practice of cheating at poker by concealing an ace up one’s sleeve.		
	800	(one’s)	achilles heel	(one’s) point of greatest weakness	She’s a great tennis player, but her serve is her Achilles heel.	Alludes to Greek mythology, in which the warrior Achilles was dipped by his mother in the river Styx and so became invulnerable except where she held him by one of his heels.		
	900	the	acid test	the critical test	OK, this is the acid test – does it go fast enough?	Alludes to the application of nitric acid to determine whether ore contains gold.		
	1000		across the board	in every respect	His proposal was rejected across the board.			
	1100		against (one’s) grain	against (one’s) nature	It goes against her grain to be deceitful.	Probably alludes to carpentry, where wood is damaged when planed against the grain.		
	1200		ahead of the curve	ahead of general practice	They’re ahead of the curve in adopting this technology.		[ { "id": "4900", "text": "behind the curve" } ]	
	1300		air (one’s) dirty laundry	expose (one’s) embarrassing secrets	When they have a fight, they tend to air their dirty laundry.			
	1400		air cover	protection	His manager is providing air cover while he works on the project.	Alludes to the military practice of protecting ground forces with air forces.		
**	1500	an	albatross around (one’s) neck			Alludes to <b><i>The Rime of the Ancient Mariner</i></b> by Samuel Taylor Coleridge.		
	1600		all bets are off	no one can predict what will happen	Now that Andy is injured and can’t play, all bets are off.	Alludes to gambling, where all existing bets may be called off if the original conditions change dramatically.		
	1700		all hands on deck	everyone focused on one task	Put your regular work aside for today. It’s all hands on deck to handle the new order.	Alludes to sailing, where all crew members are called into action in an emergency.		
	1800		all hat no cattle	all flash with no substance				
**	1900		all in a day’s work					
	2000		all squared away	settled	Are you all squared away? Is there anything else you need?			
	2100		alpha male (or female)	leader	She’s the alpha female around here. No one challenges her decisions.	Alludes to the practice of labeling the dominant male or female in a wolf pack as the alpha.		
	2200		alphabet soup	wide variety	It’s a real alphabet soup in my classroom, with students from every part of the globe.			
	2300		another nail in (one’s) (or the) coffin	another step towards failure	Flunking that course was another nail in her coffin. 			
	2400		any port in a storm	any source of refuge	I’m so desperate that any job offer looks good. I’ll take any port in a storm.			
	2500	the	apple of (one’s) eye	(one’s) dearest ???	Andy’s the apple of her grandmother’s eye and she’s completely spoiled.			
	2600	an	armchair quarterback	an uninvolved critic	The armchair quarterbacks are unanimous in their criticism, but they don’t have to make decisions under pressure.			
	2700		armed to the teeth	completely prepared	Andy was completely prepared for their questions. He was armed to the teeth with facts and figures.			Implies preparation for an adversarial situation.
	2800		as easy as pie	effortless	I thought this would be a tough quiz, but it’s as easy as pie.			
	2900		asleep at the wheel	paying inadequate attention	Since her mother’s diagnosis, Andy’s been completely nonfunctional. She’s just asleep at the wheel. 	Alludes to the situation of someone falling asleep at the controls of an automobile or locomotive.		
**	3000		at loggerheads			nautical: metal ball on end of staff for caulking or as a weapon		
	3100		at the drop of a hat	without prodding	Andy is easily distracted. He’ll stop studying at the drop of a hat.			
	3200		at the top of (one’s) game	operating at (one’s) best	Andy’s won his last several cases. He’s at the top of his game.			
	3300	an	ax to grind	a contentious issue to discuss	Andy was really upset. She had an ax to grind and wouldn’t be pacified.			
GroupB
	3400		back and fill	retreat and rework	After Andy’s mistake was discovered, he had to back and fill on his project plan.	Alludes to the maneuver used on sailing ships of alternately backing and filling the sails to steer when the rudder isn’t effective.		
	3500		back in the saddle	returned to full involvement	Now that she’s recovered from her injury, she’s back in the saddle running the squad.	Alludes to the notion that one should remount a horse after falling to regain confidence.		
	3600		back the wrong horse	support the wrong person	Andy backed the wrong horse for CEO and now she’s been stripped of her responsibilities.	Alludes to gambling on horse racing.		
	3700		back to square one	starting over	We’re back to square one. Our plan has been completely rejected.	Alludes to some board games, where returning to square one is a setback.		
	3800		back to the drawing board	restart with a new plan	That experiment didn’t work out so well. I guess it’s back to the drawing board.			
	3900		back to the well	back to the source	We’re running out of money for this effort, so it’s back to the well.			
	4000		backroom deal	deal made secretively	That’s the way the Senate works. It’s all backroom deals and the public never knows what’s going on.	Alludes to the perhaps apocryphal belief that many bars having a back room where privileged individuals could meet and negotiate.		
	4100	the	ball’s in (one’s) court	(one) now has responsibility	The ball’s in your court, Andy. What we do next is your decision.	Alludes to tennis, where one must take action when the ball is returned to one’s court.		
	4200		bark up the wrong tree	seek results in the wrong place	I thought I’d solved the problem, but I was barking up the wrong tree.	Alludes to hunting with a pack of hounds, which is supposed to corner an animal up a tree and bark as a signal.		
	4300	a	basket case	overstressed and useless 	She too tired to fix dinner. She’s a basket case after her stressful week at work.			
	4400		batting a thousand	completely successful	I haven’t missed a question yet. I’m batting a thousand.	Alludes to baseball, where a thousand is a perfect batting average.		
**	4500		bear down	apply pressure		Alludes to the nautical situation in which one ship approaches, or bears down, on another.		
	4600		beat around the bush	avoid getting to the point	Andy could not bring herself to ask the difficult question. She just kept beating around the bush.	Perhaps alludes to the hunting practice in colonial India of having assistants beat the bushes to flush prey.		
**	4700		beat the bushes					
	4800	a	bee in (one’s) bonnet	a nagging idea	Andy’s got a bee in her bonnet about a new approach. She can’t let it go until we discuss it.			
	4900		behind the curve	lagging behind general practice	They’re behind the curve in adopting this technology.		[ { "id": "1200", "text": "ahead of the curve" } ]	
	5000		behind the eight ball	under considerable pressure	Andy has put things off, and how he’s behind the eight ball to get his work done.	Alludes to billiards, where in some games having the cue ball behind the eight ball is a disadvantageous position.		
	5100		behind the scenes	without drawing attention	Andy doesn’t like attention. He prefers to work behind the scenes to get things done.	Alludes to theater, where much important activity goes on off stage.		
	5200		bells and whistles	attention-getting gimmicks	Andy’s presentation had lots of bells and whistles, but there really wasn’t much substance.			
	5300	a	belly flop	an utter failure	Wow, Andy did a complete belly flop in her presentation.			
	5400		below (one’s) pay grade	beneath (one’s) level of responsibility	That decision is really below my pay grade. You can handle it.			
	5500	the	best thing since sliced bread	a really good thing	Andy thinks that online grocery shopping is the best thing since sliced bread.			Usually used facetiously.
	5600		bet dollars to donuts	declare with great certainty	I’ll bet you dollars to donuts that he’ll win this round.			
**	5700		bet on the come					
	5800		between the devil and the deep blue sea	between two bad alternatives	Remaining unemployed or taking a job he doesn’t want — Andy’s caught between the devil and the deep blue sea.			
	5900		beyond the pale	outside the cultural norms	Andy’s behavior the other night was way beyond the pale.	Alludes to the historical use of pales, or stakes, to define boundaries.		
	6000		big gun	person of importance and authority	Andy hasn’t convinced them on his own, so now he’s bringing in the big guns.		[ { "id": "43600", "text": "heavy artillery" } ]	
	6100		big wig	person of importance	Don’t go in there — the big wigs are having a meeting.			
	6200		bigger fish to fry	more important obligations	I can’t be bothered with that right now. I’ve got bigger fish to fry.			
	6300	(one’s)	birthday suit	naked body	Andy’s drunk and now he’s in the pool in nothing but his birthday suit.			
	6400		bite the bullet	take the necessary action	OK, guess it’s time to bite the bullet and get started on this paper.	Alludes to the practice in pre-anesthetic surgery days of giving the patient a bullet or other object to bite on during intense pain.		Implies a painful or difficult action.
	6500		bite the dust	be taken down	Andy got married over the summer. Another confirmed bachelor bites the dust.	Perhaps alludes to an early British Army euphemism for getting shot.		
	6600		bite your tongue	be quiet	Bite your tongue, young man! You should not say such things about anyone.			
	6700	the	bitter end	the final unhappy outcome	They’re way behind, but they’ll keep playing hard until the bitter end.	Alludes to the nautical phrase indicating the end of any line which is opposite the working end.		
	6800	a	bitter pill to swallow	very disappointing news	Not getting that job was a bitter pill for Andy to swallow			
	6900	the	black sheep of the family	the unusual family member	Unlike his siblings, Andy never went to go to college. I guess he’s the black sheep of the family.			Implies that the family member is also more or less undesirable.
	7000	a	blank check	complete freedom to act	Andy’s been given a blank check on this project, so now she’d better get it done.			
	7100		blaze a trail	be a pioneer	Andy is blazing a trail for other hopeful young women athletes to follow.	Alludes to the practice of marking a new trail by cutting the bark of a tree to make a blaze.		
**	7200	the	bleeding edge					
	7300	a	bleeding heart	a soft-hearted person	Andy’s such a bleeding heart. He gives a buck to every panhandler.			Usually used pejoratively.
	7400	a	block buster	a huge success	Andy’s first app was a block buster. Now’s she’s got the backing to do any app she wants.			
	7500		blood in the water	perceived weakness	There’s blood in the water after Andy’s failure, and now others are criticizing her for every little detail.			
**	7600		blood money	reward for duplicitous behavior	Andy’s promotion looks like blood money after his betrayal of his colleague.	payment for a wound?		
	7700		blow (or toot) (one’s) own horn	brag	Andy likes to blow her own horn even for small accomplishments.			
	7800		blow off steam	be harmlessly boisterous	They don’t mean any harm. They’re just blowing off steam after waiting so long for a victory.	Perhaps alludes to the practice of releasing pressure in a steam engine by releasing steam.		
